Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
1,3201 101 2023 012 031 1,3201,12/31/2023,BANJIR,Kec. Katapang Ds. Banyusari Kec. Tajurhalang,BOGOR,JAWA BARAT,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi,,,,0,660,1
2,1613 101 2023 012 031 1,1613,12/31/2023,BANJIR,Kec. Rupit Ds. Noman  Ds. Noman Baru Ds. Batu Gajah Ds.Batu Gajah Baru  Ds.  Maur Lama Ds. Maur Baru Ds.Tanjung Beringin Ds.Bingin Rupit Ds.Beringin Jaya Kec. Karang Jaya Ds.Ma Batang Empu Ds.Rantau Telang Ds.Suka Menang Ds.Bukit Langkap Ds.Muara Tiku Ds.Embacang Lama Ds.Bukit Ulu Ds.Rantau Jaya,MUSI RAWAS UTARA,SUMATERA SELATAN,Dokumentasi,●Hujan dengan intensitas sedang - tinggi yang mengguyur wilayah kabupaten Musi Rawas Utara pada hari Sabtu - Minggu yang mengakibatkan sungai rupit meluap,,,,1,4031,1
3,3215 101 2023 012 031 1,3215,12/31/2023,BANJIR,Kec. Teluk Jambe  Ds. Karang Liar,KARAWANG,JAWA BARAT,Dokumentasi,●Hujan deras di wilayah hulu dan beberapa wilayah kabupaten Karawang sehingga Meluapnya sungai Citarum dan Cibeet serta sungai Cidawolong,,,,0,662,10
4,5205 105 2023 012 031 1,5205,12/31/2023,CUACA EKSTREM,Woja,DOMPU,NUSA TENGGARA BARAT,Dokumentasi,,,,,1,,0
5,3204 108 2023 012 031 1,3204,12/31/2023,GEMPABUMI,Kec. Arjasari  Ds. Pinggirsari Kec. Cicalengka Ds. Nagrog,BANDUNG,JAWA BARAT,Dokumentasi,Gempa Pertama Kekuatan          : 4.1 SR Tanggal            : 31-Dec-2023 Waktu Gempa  : 14:35:34 WIB Lintang           : 6.84 LS Bujur             : 107.93 BT Kedalaman         : 10 Km Gempa Kedua :  Kekuatan          : 4.8 SR Tanggal            : 31-Dec-2023 Waktu Gempa  : 20:34:24 WIB Lintang           : 6.85 LS Bujur             : 107.94 BT Kedalaman         : 5 Km,,,,3,,1
6,1220 101 2023 012 031 1,1220,12/31/2023,BANJIR,Kec. Simangambat Ds. Pagaran Tonga,PADANG LAWAS UTARA,SUMATERA UTARA,Dokumentasi,●Telah terjadi bencana banjir yang di sebabkan curah hujan yg cukup tinggi menyebabkan sungai barumun meluap sehingga debit air di permukiman desa pagaran tonga mencapai lebih kurang 1 m dan sudah berlangsung ±15 hari sampai dengan hari ini.,,,,0,120,0
7,3308 102 2023 012 031 1,3308,12/31/2023,TANAH LONGSOR,Kec. Tempuran Ds. Bawang,MAGELANG,JAWA TENGAH,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi,,,,1,,0
8,3213 108 2023 012 031 1,3213,12/31/2023,GEMPABUMI,,SUBANG,JAWA BARAT,Dokumentasi,Gempa Pertama Kekuatan          : 4.1 SR Tanggal            : 31-Dec-2023 Waktu Gempa  : 14:35:34 WIB Lintang           : 6.84 LS Bujur             : 107.93 BT Kedalaman         : 10 Km Gempa Kedua :  Kekuatan          : 4.8 SR Tanggal            : 31-Dec-2023 Waktu Gempa  : 20:34:24 WIB Lintang           : 6.85 LS Bujur             : 107.94 BT Kedalaman         : 5 Km,,,,37,,0
9,1509 101 2023 012 031 1,1509,12/31/2023,BANJIR,Kec VII Koto Desa Teluk Lancang,TEBO,JAMBI,Dokumentasi,,,,,0,44,0
10,3304 102 2023 012 031 1,3304,12/31/2023,TANAH LONGSOR,Kec. Punggelan  Ds. Tiaga,BANJARNEGARA,JAWA TENGAH,Dokumentasi,●hujan dengan intensitas lebat,,,9,4,,0
11,3204 101 2023 012 031 1,3204,12/31/2023,BANJIR,Kec. Tajurhalang   Ds. Sasak Panjang,BANDUNG,JAWA BARAT,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi,,,,0,660,0
12,1311 101 2023 012 031 1,1311,12/31/2023,BANJIR,Kec. Sangir Jujuan Kec. Sangir Batang Hari Kec. Sangir Balai Janggo Ds.,SOLOK SELATAN,SUMATERA BARAT,Dokumentasi,●Akibat curah hujan yang tinggi mengakibatkan terjadinya longsor dan meluap  air Sungai Batang Tiak Nagari Abai dan sungai batang talantam nagari Luas,,,,0,6,0
13,1307 101 2023 012 031 1,1307,12/31/2023,BANJIR,Kec.Pangkalan Nagari Pangkalan Nagari Koto Alam Ke Kapur IX Nagari Sialang Nagari Muaro Paiti Nagari Galugua Kec Lareh Sago Halaban Nagari Sitanang Kec Suliki Nagari kurai,LIMA PULUH KOTA,SUMATERA BARAT,Dokumentasi,"●Pusdalops PB melakukan koordinasi dengan pihak Kecamatan dan Nagari , POLRI, TNI dan OPD terkait.   ●TRC melakukan kaji cepat. Kondisi Mutakhir :  ● Banjir sudah mulai surut ●Masyarakat rumah terdampak banjir dan longsor mengungsi ke rumah keluarga",,,,2,,0
14,3211 108 2023 012 031 1,3211,12/31/2023,GEMPABUMI,Kec. Sumedang Selatan Ds. Kotakulon Ds. Cipameungpeuk Kec. Tanjung Medar Ds. Sukatani Kec. Sumedang Utara Ds. Rancamulya Ds. Padasuka Ds. Kotakeler Ds. Margamukti Ds. Talun Ds. Kebon Jati,SUMEDANG,JAWA BARAT,Dokumentasi,Gempa Pertama Kekuatan          : 4.1 SR Tanggal            : 31-Dec-2023 Waktu Gempa  : 14:35:34 WIB Lintang           : 6.84 LS Bujur             : 107.93 BT Kedalaman         : 10 Km Gempa Kedua :  Kekuatan          : 4.8 SR Tanggal            : 31-Dec-2023 Waktu Gempa  : 20:34:24 WIB Lintang           : 6.85 LS Bujur             : 107.94 BT Kedalaman         : 5 Km,,,18,1350,,61
15,5318 105 2023 012 031 1,5318,12/31/2023,CUACA EKSTREM,Kec. Kodi Bangedo,SUMBA BARAT DAYA,NUSA TENGGARA TIMUR,Dokumentasi,"Kepala Pelaksana Badan Penanggulangan Bencana Daerah (BPBD) Kab. Sumba Barat Daya melaporkan peristiwa angin putting beliung yang terjadi di wilayahnya pada Minggu (31/12) sekitar pukul 14.21 wita. Sebanyak 9 unit rumah warga, 1 kantor Desa, 1 sekolah Katolik Waipadi dan 1 gedung susteran dilaporkan terdampak akibat bencana angin putting beliung tersebut.",,,,9,,3
16,1404 101 2023 012 031 1,1404,12/31/2023,BANJIR,Kec. Gaung Ds. Lahang Hulu,INDRAGIRI HILIR,RIAU,Dokumentasi,,,,,0,421,0
17,3401 105 2023 012 030 1,3401,12/30/2023,CUACA EKSTREM,KEC Kalibawang KEL Banjaroya,KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,,,,,1,,0
18,1221 101 2023 012 030 1,1221,12/30/2023,BANJIR,Kec. Sosa Julu  Desa Lumban Huayan Kec. Barumun  Desa Batang Taris  Desa Galanggang Link. Desa Handis Julu  Kec. Ulu Barumun  Desa Pasar Ipuh  Kec. Ulu Sosa  Desa Parapat Sosa  Desa Batang Bulu Kec. Sosopan  Desa Pagaran Bira Kec.Barumun Baru  Desa Sitarolo Kec. Aek Nabara Barumun  Desa Parantonga  Kec. Sosa  Desa Pasar Lombang Kec. Batang Lubu Sutam  Desa Tanjung baru  Desa Tamiang Desa Tanjung Barani  Desa Manggis,PADANG LAWAS,SUMATERA UTARA,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi menyebabkan Sungai Barumun dan Sungai Soping meluap,,,,0,761,0
19,1210 101 2023 012 030 1,1210,12/30/2023,BANJIR,Kec. Bilah hilir Ds. Negeri lama Seberang Kec. Panai Tengah  Ds. Sei Siarti  Ds. Rambe,LABUHANBATU,SUMATERA UTARA,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi,1,,,0,2224,0
20,3202 101 2023 012 030 1,3202,12/30/2023,BANJIR,Kec. Cireunghas Ds. Bencoy,SUKABUMI,JAWA BARAT,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,13,0
21,1310 101 2023 012 030 1,1310,12/30/2023,BANJIR,Kec. Koto Besar Ds. Abai Siat  Ds. Bonjol Kec. Koto Baru Ds. Koto Baru Kec. IX Koto Ds. Banai Kec. PulauPunjung Ds. GunungSelasih Kec. Sitiung Ds. NagariGunung Medan Kec. AsamJujuhan Ds. TanjungAlam Ds. Sinamar Kec. Koto Salak Ds. Padukuan,DHARMASRAYA,SUMATERA BARAT,Dokumentasi,●Dipicu oleh hujan dengan intensitas tinggi,,,,0,1697,0
22,1406 101 2023 012 030 1,1406,12/30/2023,BANJIR,Kec. Ujung Batu Ds. Suka Damai Ds. Pematang Tebih Kel. Ujung Batu Ds. Ngaso Kec. Tambusai Ds. Talikumain Kel. Tambusai Tengah Ds. Sei Kumango,ROKAN HULU,RIAU,Dokumentasi,,,,,777,,3
23,1409 101 2023 012 030 1,1409,12/30/2023,BANJIR,Kec. Logas Tanah Darat Ds. Rambahan Ds. Teratak Rendah Kec. Kuantan Mudik Ds. Bukit Kauman Ds. Bukit Pedusunan Ds. Kasang Ds. Kinali Ds. Banjar Padang Ds. Aur Duri Ds. Seberang Pantai Ds. Pebauan Hilir Ds. Luai Kec. Cerenti Ds. Sikakak Ds. Teluk Pauh Ds. Kampung Baru Ds. Tanjung Medan Ds. Pulau Bayur Ds. Pulau Panjang Ds. Pesikaian Ds. Kampung Baru Timur Ds. Kel. Cerenti Ds. Koto Cerenti Ds. Pulau Jambu Kec. Hulu Kuantan Ds. Mudik Ulo Kec. Pangean Ds. Pulau Tengah Ds. Pulau Kumpai Ds. Padang Tanggung Ds. Pauh Angit Ds. Teluk Pauh Ds. Padang Kunik Ds. Pembatang Ds. Teluk Bekali Ds. Pauh Angir Hulu Ds. Pulau Deres Ds. Sekaping Ds. Pulau Rengas Ds. Pasar Baru Pangean Ds. Rawang Binjai Ds. Sekaping Ds. Koto Pangean Kec. Inuman Ds. Pulau Panjang Hilir Ds. Pulau Sipan Ds. Pulau Busuk Ds. Ketaping Jaya Ds. Pulau Panjang Hulu Ds. Banjar Nan Tigo Ds. Pulau Busuk Jaya Ds. Seberang Pulau Busuk Ds. Badang Sikuran Ds. Pasar Inuman Ds. Koto Inuman Ds. Kampung Baru Koto Ds. Lubuh Lurus Kec. Logas Tanah Darat Ds. Rambahan Ds. Teratak Rendah Kec. Kuantan Hilir Ds. Pulau Kijang Ds. Banuaran Ds. Pulau Madinah Ds. Kampung Tengah Ds. Pasar Usang Baserah Ds. Kepala Pulau Kec. Gunung Toar Ds. Teluk Beringin,KUANTAN SINGINGI,RIAU,Dokumentasi,●Tingginya curah hujan di Kabupaten Kuantan Singingi sehingga menyebabkan meluapnya sungai batang Kuantan dan merendam pemukiman warga.,,,,0,10613,27
24,1501 101 2023 012 030 1,1501,12/30/2023,BANJIR,Kec. Depati Tujuh Ds. Belui Ds. Tabat Ijuk Dili Ds. Koto Panjang Ds. Baru Kubang Ds. Koto Simpal Kubang Ds. Kubang Agung Ds. Kubang Gadang Ds. Tambak Tinggi Ds. Kayu Aho Mangkak Ds. Koto Tuo Ds. Sekungkung Ds. Ladeh Ds. Koto Payang Kec. Air Hangat Barat Ds. Koto Dua Baru Ds. Koto Datuk Ds. Koto Tengah Ds. Koto Cayo Ds. Koto Duo Lamo Ds. Balai Ds. Koto Diair Ds. Koto Majidin Kec. Siulak Ds. Koto Lebuh Tinggi Ds. Lubuk Nagodang Ds. Sungai Pegeh Ds. Mukai Tinggi Ds. Mukai Hilir Kec. Gunung Kerinci Ds. Siluak Deras Kec. Air Hangat Timur Ds. Kemantan Raya Kec. Batang Merangin Ds. Pematang Lingkung Ds. Lubuk Paku Ds. Tamiai Ds. Pasar Tamiai Ds. Tarutung Ds. Seberang Merangin Ds. Pulau Sangkar Kec. Kayo Aro Ds. Sangir,KERINCI,JAMBI,Dokumentasi,●Dipicu hujan dengan intensitas tinggi sehingga meluapnya Sungai Batang Merao,2,,2,167,4318,19
25,3404 101 2023 012 030 1,3404,12/30/2023,BANJIR,KEC MLATI KEL SENDANGDADI,SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,Air sungai meluap ke jalan wahidin dan masuk ke rumah warga setinggi +-18cm. Dan dihalaman rumah mencapai 40-50cm. Pemilik rumah a.n Ibu Rudatin 1 KK 4,,,,0,1,0
26,3304 101 2023 012 030 1,3304,12/30/2023,BANJIR,Kec. Purwanegara  Ds. Danaraja  Kec. Mandirana Ds. Somawangi,BANJARNEGARA,JAWA TENGAH,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi menyebabkan saluran irigasi jebol,,,,1,,0
